Name,Type,PLCAddress
HandlerStart,bool,W0.00
HandlerStop ,bool,W0.01
HandlerStartingStatus,bool,W0.02
HandlerStopStatus,bool,W0.03
HandlerRunStatus,bool,W0.04
MotorLoaderStatus,bool,W0.05
MotorSortStatus,bool,W0.06
MotorUnLoaderStatus,bool,W0.07
SiteOnOff1,bool,H100.00
SiteOnOff2,bool,H100.01
SiteOnOff3,bool,H100.02
SiteOnOff4,bool,H100.03
JobTesting,bool,H100.04
JobExercise,bool,H100.05
JobPurge,bool,H100.06
ModeAsy,bool,H100.07
ModeSyn,bool,H100.08
ModeAlt1,bool,H100.09
ModeAlt2,bool,H100.10
ModeSer,bool,H100.11
InterfaceRunTTL,bool,H100.12
InterfaceRunGPIB,bool,H100.13
InterfaceRunRS232,bool,H100.14
SwitchSetMExit,bool,H101.00
SwitchAExitDropTubeAtJam,bool,H101.01
SwitchTestEndSingSite1,bool,H101.02
SwitchTestEndSingSite2,bool,H101.03
SwitchTestEndSingSite3,bool,H101.04
SwitchTestEndSingSite4,bool,H101.05
SwitchLoaderTubeTapper,bool,H101.06
SwitchLoaderClearSotckBIN,bool,H101.07
SwitchEntryTrackStopTap,bool,H101.08
TimeEntryTubeTapperSilence,ushort,D15001
CountEntryTubeTap,ushort,D15002
TimeEntryTubeTapperOn,ushort,D15003
TimeEntryTubeTapperOff,ushort,D15004
TimeEntryTrackStopTapperSilence,ushort,D15005
CountEntryTrackStopTap,ushort,D15006
TimeEntryTrackStopTapperOn,ushort,D15007
TimeEntryTrackStopTapperOff,ushort,D15008
SwitchTowerBlink,bool,H101.09
SwitchGreenRun,bool,H101.10
SwitchGreenWarn,bool,H101.11
SwitchGreenStarting,bool,H101.12
SwitchGreenHeating,bool,H101.13
SwitchYellowRun,bool,H101.14
SwitchYellowStop,bool,H101.15
SwitchYellowWarn,bool,H102.00
SwitchYellowEvent,bool,H102.01
SwitchYellowStarting,bool,H102.02
SwitchYellowHeating,bool,H102.03
SwitchRedRun,bool,H102.04
SwitchRedStop,bool,H102.05
SwitchRedWarn,bool,H102.06
SwitchRedEvent,bool,H102.07
SwitchRedStarting,bool,H102.08
SwitchRedHeating,bool,H102.09
SwitchPreSiteStop1,bool,H102.10
SwitchPreSiteStop2,bool,H102.11
SwitchPreSiteStop3,bool,H102.12
SwitchPreSiteStop4,bool,H102.13
SwitchAntiSingulatorJam,bool,H102.14
SwitchTrackTapper,bool,H102.15
TimeTrackTapperSilence,ushort,D15009
CountTrackTap,ushort,D15010
TimeTrackTapperOn,ushort,D15011
TimeTrackTapperOff,ushort,D15012
SwitchUnLoaderStackTubeTapper,bool,H101.08
TimeUnLoaderStackTapperSilence,ushort,D15013
CountUnLoaderTap,ushort,D15014
TimeUnLoaderStackTapperOn,ushort,D15015
TimeUnLoaderStackTapperOff,ushort,D15016
SwitchAExitTubeTapper,bool,H103.00
TimeAExitTubeTapOn,ushort,D15017
TimeAExitTubeTapOff,ushort,D15018
SwitchBINInWarnSite1BIN1,bool,H103.01
SwitchBINInWarnSite1BIN2,bool,H103.02
SwitchBINInWarnSite1BIN3,bool,H103.03
SwitchBINInWarnSite1BIN4,bool,H103.04
SwitchBINInWarnSite1BIN5,bool,H103.05
SwitchBINInWarnSite1BIN6,bool,H103.06
SwitchBINInWarnSite1BIN7,bool,H103.07
SwitchBINInWarnSite1BIN8,bool,H103.08
SwitchBINInWarnSite1BIN9,bool,H103.09
SwitchBINInWarnSite2BIN1,bool,H103.10
SwitchBINInWarnSite2BIN2,bool,H103.11
SwitchBINInWarnSite2BIN3,bool,H103.12
SwitchBINInWarnSite2BIN4,bool,H103.13
SwitchBINInWarnSite2BIN5,bool,H103.14
SwitchBINInWarnSite2BIN6,bool,H103.15
SwitchBINInWarnSite2BIN7,bool,H104.00
SwitchBINInWarnSite2BIN8,bool,H104.01
SwitchBINInWarnSite2BIN9,bool,H104.02
SwitchBINInWarnSite3BIN1,bool,H104.03
SwitchBINInWarnSite3BIN2,bool,H104.04
SwitchBINInWarnSite3BIN3,bool,H104.05
SwitchBINInWarnSite3BIN4,bool,H104.06
SwitchBINInWarnSite3BIN5,bool,H104.07
SwitchBINInWarnSite3BIN6,bool,H104.08
SwitchBINInWarnSite3BIN7,bool,H104.09
SwitchBINInWarnSite3BIN8,bool,H104.10
SwitchBINInWarnSite3BIN9,bool,H104.11
SwitchBINInWarnSite4BIN1,bool,H104.12
SwitchBINInWarnSite4BIN2,bool,H104.13
SwitchBINInWarnSite4BIN3,bool,H104.14
SwitchBINInWarnSite4BIN4,bool,H104.15
SwitchBINInWarnSite4BIN5,bool,H105.00
SwitchBINInWarnSite4BIN6,bool,H105.01
