id,Name,WrtOnStop,WrtOnStart,WrtOnRun
1,HandlerStart,Y,Y,
2,HandlerStop ,Y,Y,
3,HandlerStartingStatus,N,,
4,HandlerStopStatus,N,,
5,HandlerRunStatus,N,,
6,MotorLoaderStatus,Y,,
7,MotorSortStatus,Y,,
8,MotorUnLoaderStatus,Y,,
9,SiteOnOff1,Y,,
10,SiteOnOff2,Y,,
11,SiteOnOff3,Y,,
12,SiteOnOff4,Y,,
13,JobTesting,Y,,
14,JobExercise,Y,,
15,JobPurge,Y,,
16,ModeAsy,Y,,
17,ModeSyn,Y,,
18,ModeAlt1,Y,,
19,ModeAlt2,Y,,
20,ModeSer,Y,,
21,InterfaceRunTTL,Y,,
22,InterfaceRunGPIB,Y,,
23,InterfaceRunRS232,Y,,
24,SwitchSetMExit,Y,,
25,SwitchAExitDropTubeAtJam,Y,,
26,SwitchTestEndSingSite1,Y,,
27,SwitchTestEndSingSite2,Y,,
28,SwitchTestEndSingSite3,Y,,
29,SwitchTestEndSingSite4,Y,,
30,SwitchLoaderTubeTapper,Y,Y,Y
31,SwitchLoaderClearSotckBIN,Y,Y,Y
32,SwitchUnLoaderStackTubeTapper,Y,Y,Y
33,SwitchTowerBlink,Y,Y,Y
34,SwitchGreenRun,Y,Y,Y
35,SwitchGreenWarn,Y,Y,Y
36,SwitchGreenStarting,Y,Y,Y
37,SwitchGreenHeating,Y,Y,Y
38,SwitchYellowRun,Y,Y,Y
39,SwitchYellowStop,Y,Y,Y
40,SwitchYellowWarn,Y,Y,Y
41,SwitchYellowEvent,Y,Y,Y
42,SwitchYellowStarting,Y,Y,Y
43,SwitchYellowHeating,Y,Y,Y
44,SwitchRedRun,Y,Y,Y
45,SwitchRedStop,Y,Y,Y
46,SwitchRedWarn,Y,Y,Y
47,SwitchRedEvent,Y,Y,Y
48,SwitchRedStarting,Y,Y,Y
49,SwitchRedHeating,Y,Y,Y
50,SwitchPreSiteStop1,Y,,
51,SwitchPreSiteStop2,Y,,
52,SwitchPreSiteStop3,Y,,
53,SwitchPreSiteStop4,Y,,
54,SwitchBINInWarnSite1BIN1,Y,Y,Y
55,SwitchBINInWarnSite1BIN2,Y,Y,Y
56,SwitchBINInWarnSite1BIN3,Y,Y,Y
57,SwitchBINInWarnSite1BIN4,Y,Y,Y
58,SwitchBINInWarnSite1BIN5,Y,Y,Y
59,SwitchBINInWarnSite1BIN6,Y,Y,Y
60,SwitchBINInWarnSite1BIN7,Y,Y,Y
61,SwitchBINInWarnSite1BIN8,Y,Y,Y
62,SwitchBINInWarnSite1BIN9,Y,Y,Y
63,SwitchBINInWarnSite2BIN1,Y,Y,Y
64,SwitchBINInWarnSite2BIN2,Y,Y,Y
65,SwitchBINInWarnSite2BIN3,Y,Y,Y
66,SwitchBINInWarnSite2BIN4,Y,Y,Y
67,SwitchBINInWarnSite2BIN5,Y,Y,Y
68,SwitchBINInWarnSite2BIN6,Y,Y,Y
69,SwitchBINInWarnSite2BIN7,Y,Y,Y
70,SwitchBINInWarnSite2BIN8,Y,Y,Y
71,SwitchBINInWarnSite2BIN9,Y,Y,Y
72,SwitchBINInWarnSite3BIN1,Y,Y,Y
73,SwitchBINInWarnSite3BIN2,Y,Y,Y
74,SwitchBINInWarnSite3BIN3,Y,Y,Y
75,SwitchBINInWarnSite3BIN4,Y,Y,Y
76,SwitchBINInWarnSite3BIN5,Y,Y,Y
77,SwitchBINInWarnSite3BIN6,Y,Y,Y
78,SwitchBINInWarnSite3BIN7,Y,Y,Y
79,SwitchBINInWarnSite3BIN8,Y,Y,Y
80,SwitchBINInWarnSite3BIN9,Y,Y,Y
81,SwitchBINInWarnSite4BIN1,Y,Y,Y
82,SwitchBINInWarnSite4BIN2,Y,Y,Y
83,SwitchBINInWarnSite4BIN3,Y,Y,Y
84,SwitchBINInWarnSite4BIN4,Y,Y,Y
85,SwitchBINInWarnSite4BIN5,Y,Y,Y
86,SwitchBINInWarnSite4BIN6,Y,Y,Y
87,SwitchBINInWarnSite4BIN7,Y,Y,Y
88,SwitchBINInWarnSite4BIN8,Y,Y,Y
89,SwitchBINInWarnSite4BIN9,Y,Y,Y
90,SwitchSetBINtoAExitBIN1,Y,,
91,SwitchSetBINtoAExitBIN2,Y,,
92,SwitchSetBINtoAExitBIN3,Y,,
93,SwitchSetBINtoAExitBIN4,Y,,
94,SwitchSetBINtoAExitBIN5,Y,,
95,SwitchSetBINtoAExitBIN6,Y,,
96,SwitchSetBINtoAExitBIN7,Y,,
97,SwitchSetBINtoAExitBIN8,Y,,
98,SwitchSetBINtoAExitBIN9,Y,,
99,SwitchSetBINtoM1ExitBIN1,Y,,
100,SwitchSetBINtoM1ExitBIN2,Y,,
101,SwitchSetBINtoM1ExitBIN3,Y,,
102,SwitchSetBINtoM1ExitBIN4,Y,,
103,SwitchSetBINtoM1ExitBIN5,Y,,
104,SwitchSetBINtoM1ExitBIN6,Y,,
105,SwitchSetBINtoM1ExitBIN7,Y,,
106,SwitchSetBINtoM1ExitBIN8,Y,,
107,SwitchSetBINtoM1ExitBIN9,Y,,
108,SwitchSetBINtoM2ExitBIN1,Y,,
109,SwitchSetBINtoM2ExitBIN2,Y,,
110,SwitchSetBINtoM2ExitBIN3,Y,,
111,SwitchSetBINtoM2ExitBIN4,Y,,
112,SwitchSetBINtoM2ExitBIN5,Y,,
113,SwitchSetBINtoM2ExitBIN6,Y,,
114,SwitchSetBINtoM2ExitBIN7,Y,,
115,SwitchSetBINtoM2ExitBIN8,Y,,
116,SwitchSetBINtoM2ExitBIN9,Y,,
117,SwitchSetBINtoM3ExitBIN1,Y,,
118,SwitchSetBINtoM3ExitBIN2,Y,,
119,SwitchSetBINtoM3ExitBIN3,Y,,
120,SwitchSetBINtoM3ExitBIN4,Y,,
121,SwitchSetBINtoM3ExitBIN5,Y,,
122,SwitchSetBINtoM3ExitBIN6,Y,,
123,SwitchSetBINtoM3ExitBIN7,Y,,
124,SwitchSetBINtoM3ExitBIN8,Y,,
125,SwitchSetBINtoM3ExitBIN9,Y,,
126,SwitchSetBINtoM4ExitBIN1,Y,,
127,SwitchSetBINtoM4ExitBIN2,Y,,
128,SwitchSetBINtoM4ExitBIN3,Y,,
129,SwitchSetBINtoM4ExitBIN4,Y,,
130,SwitchSetBINtoM4ExitBIN5,Y,,
131,SwitchSetBINtoM4ExitBIN6,Y,,
132,SwitchSetBINtoM4ExitBIN7,Y,,
133,SwitchSetBINtoM4ExitBIN8,Y,,
134,SwitchSetBINtoM4ExitBIN9,Y,,
135,SwitchSetBINtoM5ExitBIN1,Y,,
136,SwitchSetBINtoM5ExitBIN2,Y,,
137,SwitchSetBINtoM5ExitBIN3,Y,,
138,SwitchSetBINtoM5ExitBIN4,Y,,
139,SwitchSetBINtoM5ExitBIN5,Y,,
140,SwitchSetBINtoM5ExitBIN6,Y,,
141,SwitchSetBINtoM5ExitBIN7,Y,,
142,SwitchSetBINtoM5ExitBIN8,Y,,
143,SwitchSetBINtoM5ExitBIN9,Y,,
144,CylLoaderStackPushTube,Y,,
145,CylLoaderPushTubeYUp,Y,,
146,CylLoaderStackTubeClamp,Y,,
147,CylLoaderEntryTubeClamp,Y,,
148,CylLoaderTubeStop,Y,,
149,CylLoaderTubeRotator,Y,,
150,CylLoaderEntryTrackStop,Y,,
151,CylLoaderVerticalTubeTapper,Y,,
152,CylLoaderStock1Stop,Y,,
153,CylLoaderStock2Stop,Y,,
154,CylLoaderStock3Stop,Y,,
155,CylLoaderStock4Stop,Y,,
156,CylTrack1Tapper,Y,,
157,CylTrack2Tapper,Y,,
158,CylSingulator1AirBlow,Y,,
159,CylSingulator2AirBlow,Y,,
160,CylSingulator3AirBlow,Y,,
161,CylSingulator4AirBlow,Y,,
162,CylSingulator1,Y,,
163,CylSingulator2,Y,,
164,CylSingulator3,Y,,
165,CylSingulator4,Y,,
166,CylPreSite1BodyStop,Y,,
167,CylPreSite2BodyStop,Y,,
168,CylPreSite3BodyStop,Y,,
169,CylPreSite4BodyStop,Y,,
170,CylPlunger1,Y,,
171,CylPlunger2,Y,,
172,CylPlunger3,Y,,
173,CylPlunger4,Y,,
174,CylSite1LeadBack,Y,,
175,CylSite2LeadBack,Y,,
176,CylSite3LeadBack,Y,,
177,CylSite4LeadBack,Y,,
178,CylCurveTrack1Stop,Y,,
179,CylCurveTrack2Stop,Y,,
180,CylCurveTrack1AiBlow,Y,,
181,CylCurveTrack2AiBlow,Y,,
182,CylSortStopAL,Y,,
183,CylSortStopAR,Y,,
184,CylSortStopM1L,Y,,
185,CylSortStopM2L,Y,,
186,CylSortStopM3LM1R,Y,,
187,CylSortStopM4LM2R,Y,,
188,CylSortStopM3R,Y,,
189,CylSortStopM4R,Y,,
190,CylUnLoaderBufExitStop,Y,,
191,CylUnLoaderBufExitTubeClamp,Y,,
192,CylUnLoaderStackTapper,Y,,
193,CylUnLoaderStackTubeClamp,Y,,
194,CylUnLoaderPushTubeYUp,Y,,
195,SensorLoaderMotorLimitLeft,N,,
196,SensorLoaderMotorLimitRight,N,,
197,SensorLoaderStackBaseTube,N,,
198,SensorLoaderEntryTube,N,,
199,SensorLoaderRotatorFlat,N,,
200,SensorLoaderRotatorVertical,N,,
201,SensorLoaderRotatorTubeExit,N,,
202,SensorLoaderEntryTrackUnit,N,,
203,SensorLoaderEntryTrackExitJam,N,,
204,SensorLoaderCheckStockEmpty,N,,
205,SensorLoaderStock1ExitJam,N,,
206,SensorLoaderStock2ExitJam,N,,
207,SensorLoaderStock3ExitJam,N,,
208,SensorLoaderStock4ExitJam,N,,
209,SensorLoaderTrack1AskUnitFeeding,N,,
210,SensorLoaderTrack2AskUnitFeeding,N,,
211,SensorLoaderStock1FeedPlace,N,,
212,SensorLoaderStock2FeedPlace,N,,
213,SensorLoaderStock3FeedPlace,N,,
214,SensorLoaderStock4FeedPlace,N,,
215,SensorLoaderCheckStock1EmptyPlace,N,,
216,SensorLoaderCheckStock2EmptyPlace,N,,
217,SensorLoaderCheckStock3EmptyPlace,N,,
218,SensorLoaderCheckStock4EmptyPlace,N,,
219,SensorLoaderStock1FeedTrack1Place,N,,
220,SensorLoaderStock1FeedTrack2Place,N,,
221,SensorLoaderStock2FeedTrack1Place,N,,
222,SensorLoaderStock2FeedTrack2Place,N,,
223,SensorLoaderStock3FeedTrack1Place,N,,
224,SensorLoaderStock3FeedTrack2Place,N,,
225,SensorLoaderStock4FeedTrack1Place,N,,
226,SensorLoaderStock4FeedTrack2Place,N,,
227,SensorSingulator1Unit,N,,
228,SensorSingulator2Unit,N,,
229,SensorPlunger1Entry,N,,
230,SensorPlunger2Entry,N,,
231,SensorPlunger3Entry,N,,
232,SensorPlunger4Entry,N,,
233,SensorPlunger1Exit,N,,
234,SensorPlunger2Exit,N,,
235,SensorPlunger1PushOutPlace,N,,
236,SensorPlunger2PushOutPlace,N,,
237,SensorPlunger3PushOutPlace,N,,
238,SensorPlunger4PushOutPlace,N,,
239,SensorPlunger1TrackPlace,N,,
240,SensorPlunger2TrackPlace,N,,
241,SensorPlunger3TrackPlace,N,,
242,SensorPlunger4TrackPlace,N,,
243,SensorCurveTrack1Unit,N,,
244,SensorCurveTrack2Unit,N,,
245,SensorCheckSortEmpty,N,,
246,SensorCheckSort1DD,N,,
247,SensorCheckSort2DD,N,,
248,SensorSortExitUnitA1,N,,
249,SensorSortExitUnitM,N,,
250,SensorSortLimitLeft,N,,
251,SensorSortLimitRight,N,,
252,MotorSortCheckSort1EmptyPlace,N,,
253,MotorSortCheckSort2EmptyPlace,N,,
254,MotorSortALPlace,N,,
255,MotorSortARPlace,N,,
256,MotorSortM1LPlace,N,,
257,MotorSortM2LPlace,N,,
258,MotorSortM3LPlace,N,,
259,MotorSortM4LPlace,N,,
260,MotorSortM1RPlace,N,,
261,MotorSortM2RPlace,N,,
262,MotorSortM3RPlace,N,,
263,MotorSortM4RPlace,N,,
264,SensorUnLoaderBufFull,N,,
265,SensorUnLoaderBufExitJam,N,,
266,SensorUnLoaderBufExitTube,N,,
267,SensorUnLoaderStackBaseTube,N,,
268,SensorUnLoaderMotorStackPlace,N,,
269,SensorUnLoaderMEntryJam,N,,
270,SensorUnLoaderM1Tube,N,,
271,SensorUnLoaderM2Tube,N,,
272,SensorUnLoaderM3Tube,N,,
273,SensorUnLoaderM4Tube,N,,
274,MotorUnLoaderStackTubePlace,N,,
275,MotorUnLoaderLoadingPlace,N,,
276,MotorLoaderHOMEStock1CheckEmpty,Y,,
277,MotorLoaderHOMEStock2CheckEmpty,Y,,
278,MotorLoaderHOMEStock3CheckEmpty,Y,,
279,MotorLoaderHOMEStock4CheckEmpty,Y,,
280,MotorLoaderHOMEStock1FeedUnit,Y,,
281,MotorLoaderHOMEStock2FeedUnit,Y,,
282,MotorLoaderHOMEStock3FeedUnit,Y,,
283,MotorLoaderHOMEStock4FeedUnit,Y,,
284,MotorLoaderHOMEStock1Track1,Y,,
285,MotorLoaderHOMEStock1Track2,Y,,
286,MotorLoaderHOMEStock2Track1,Y,,
287,MotorLoaderHOMEStock2Track2,Y,,
288,MotorLoaderHOMEStock3Track1,Y,,
289,MotorLoaderHOMEStock3Track2,Y,,
290,MotorLoaderHOMEStock4Track1,Y,,
291,MotorLoaderHOMEStock4Track2,Y,,
292,MotorLoaderGoToStock1CheckEmpty,Y,,
293,MotorLoaderGoToStock2CheckEmpty,Y,,
294,MotorLoaderGoToStock3CheckEmpty,Y,,
295,MotorLoaderGoToStock4CheckEmpty,Y,,
296,MotorLoaderGoToStock1FeedUnit,Y,,
297,MotorLoaderGoToStock2FeedUnit,Y,,
298,MotorLoaderGoToStock3FeedUnit,Y,,
299,MotorLoaderGoToStock4FeedUnit,Y,,
300,MotorLoaderGoToStock1Track1,Y,,
301,MotorLoaderGoToStock1Track2,Y,,
302,MotorLoaderGoToStock2Track1,Y,,
303,MotorLoaderGoToStock2Track2,Y,,
304,MotorLoaderGoToStock3Track1,Y,,
305,MotorLoaderGoToStock3Track2,Y,,
306,MotorLoaderGoToStock4Track1,Y,,
307,MotorLoaderGoToStock4Track2,Y,,
308,MotorSortHomeSort1CheckEmpty,Y,,
309,MotorSortHomeSort2CheckEmpty,Y,,
310,MotorSortHomeSortAL,Y,,
311,MotorSortHomeSortAR,Y,,
312,MotorSortHomeSortM1L,Y,,
313,MotorSortHomeSortM2L,Y,,
314,MotorSortHomeSortM3L,Y,,
315,MotorSortHomeSortM4L,Y,,
316,MotorSortHomeSortM1R,Y,,
317,MotorSortHomeSortM2R,Y,,
318,MotorSortHomeSortM3R,Y,,
319,MotorSortHomeSortM4R,Y,,
320,MotorSortGoToSort1CheckEmpty,Y,,
321,MotorSortGoToSort2CheckEmpty,Y,,
322,MotorSortGoToAL,Y,,
323,MotorSortGoToAR,Y,,
324,MotorSortGoToM1L,Y,,
325,MotorSortGoToM2L,Y,,
326,MotorSortGoToM3L,Y,,
327,MotorSortGoToM4L,Y,,
328,MotorSortGoToM1R,Y,,
329,MotorSortGoToM2R,Y,,
330,MotorSortGoToM3R,Y,,
331,MotorSortGoToM4R,Y,,
332,MotorUnLoaderHOMEStack,Y,,
333,MotorUnLoaderSwitchAddReduce,Y,,
334,MotorUnLoaderAlignStackTube,Y,,
335,MotorUnLoaderGoToStackTube,Y,,
336,MotorUnLoaderGotoLoading,Y,,
337,MotorUnLoaderStepAdd,N,,
338,MotorUnLoaderStepReduce,N,,
339,ReSetContacting1Data,Y,Y,Y
340,ReSetContacting2Data,Y,Y,Y
341,ReSetContacting3Data,Y,Y,Y
342,ReSetContacting4Data,Y,Y,Y
343,DropTubeAExit,Y,,
344,ReSetLOTData,Y,Y,Y
345,ReSetSite1LOTData,Y,Y,Y
346,ReSetSite2LOTData,Y,Y,Y
347,ReSetSite3LOTData,Y,Y,Y
348,ReSetSite4LOTData,Y,Y,Y
349,IssueTTLSite1SOT,Y,,
350,IssueTTLSite2SOT,Y,,
351,IssueTTLSite3SOT,Y,,
352,IssueTTLSite4SOT,Y,,
353,InSite1EOT,N,,
354,InSite2EOT,N,,
355,InSite3EOT,N,,
356,InSite4EOT,N,,
357,InSite1BIN1,N,,
358,InSite1BIN2,N,,
359,InSite1BIN3,N,,
360,InSite1BIN4,N,,
361,InSite1BIN5,N,,
362,InSite1BIN6,N,,
363,InSite1BIN7,N,,
364,InSite1BIN8,N,,
365,InSite1BIN9,N,,
366,InSite2BIN1,N,,
367,InSite2BIN2,N,,
368,InSite2BIN3,N,,
369,InSite2BIN4,N,,
370,InSite2BIN5,N,,
371,InSite2BIN6,N,,
372,InSite2BIN7,N,,
373,InSite2BIN8,N,,
374,InSite2BIN9,N,,
375,InSite3BIN1,N,,
376,InSite3BIN2,N,,
377,InSite3BIN3,N,,
378,InSite3BIN4,N,,
379,InSite3BIN5,N,,
380,InSite3BIN6,N,,
381,InSite3BIN7,N,,
382,InSite3BIN8,N,,
383,InSite3BIN9,N,,
384,InSite4BIN1,N,,
385,InSite4BIN2,N,,
386,InSite4BIN3,N,,
387,InSite4BIN4,N,,
388,InSite4BIN5,N,,
389,InSite4BIN6,N,,
390,InSite4BIN7,N,,
391,InSite4BIN8,N,,
392,InSite4BIN9,N,,
