id,DataName,PlcAddress
1,HandlerRunStatus,W0.04
2,HandlerStart,W0.00
3,HandlerStartingStatus,W0.02
4,HandlerStop ,W0.01
5,HandlerStopStatus,W0.03
6,MotorLoaderStatus,W0.05
7,MotorSortStatus,W0.06
8,MotorUnLoaderStatus,W0.07
9,SiteOnOff1,H100.00
10,SiteOnOff2,H100.01
11,SiteOnOff3,H100.02
12,SiteOnOff4,H100.03
13,JobTesting,H100.04
14,JobExercise,H100.05
15,JobPurge,H100.06
16,ModeAsy,H100.07
17,ModeSyn,H100.08
18,ModeAlt1,H100.09
19,ModeAlt2,H100.10
20,ModeSer,H100.11
21,InterfaceRunTTL,H100.12
22,InterfaceRunGPIB,H100.13
23,InterfaceRunRS232,H100.14
24,SwitchSetMExit,H101.00
25,SwitchAExitDropTubeAtJam,H101.01
26,SwitchTestEndSingSite1,H101.02
27,SwitchTestEndSingSite2,H101.03
28,SwitchTestEndSingSite3,H101.04
29,SwitchTestEndSingSite4,H101.05
30,SwitchLoaderTubeTapper,H101.06
31,SwitchLoaderClearSotckBIN,H101.07
32,SwitchUnLoaderStackTubeTapper,H101.08
33,SwitchTowerBlink,H101.09
34,SwitchGreenRun,H101.10
35,SwitchGreenWarn,H101.11
36,SwitchGreenStarting,H101.12
37,SwitchGreenHeating,H101.13
38,SwitchYellowRun,H101.14
39,SwitchYellowStop,H101.15
40,SwitchYellowWarn,H102.00
41,SwitchYellowEvent,H102.01
42,SwitchYellowStarting,H102.02
43,SwitchYellowHeating,H102.03
44,SwitchRedRun,H102.04
45,SwitchRedStop,H102.05
46,SwitchRedWarn,H102.06
47,SwitchRedEvent,H102.07
48,SwitchRedStarting,H102.08
49,SwitchRedHeating,H102.09
50,SwitchPreSiteStop1,H102.10
51,SwitchPreSiteStop2,H102.11
52,SwitchPreSiteStop3,H102.12
53,SwitchPreSiteStop4,H102.13
54,SwitchBINInWarnSite1BIN1,H103.00
55,SwitchBINInWarnSite1BIN2,H103.01
56,SwitchBINInWarnSite1BIN3,H103.02
57,SwitchBINInWarnSite1BIN4,H103.03
58,SwitchBINInWarnSite1BIN5,H103.04
59,SwitchBINInWarnSite1BIN6,H103.05
60,SwitchBINInWarnSite1BIN7,H103.06
61,SwitchBINInWarnSite1BIN8,H103.07
62,SwitchBINInWarnSite1BIN9,H103.08
63,SwitchBINInWarnSite2BIN1,H103.09
64,SwitchBINInWarnSite2BIN2,H103.10
65,SwitchBINInWarnSite2BIN3,H103.11
66,SwitchBINInWarnSite2BIN4,H103.12
67,SwitchBINInWarnSite2BIN5,H103.13
68,SwitchBINInWarnSite2BIN6,H103.14
69,SwitchBINInWarnSite2BIN7,H103.15
70,SwitchBINInWarnSite2BIN8,H104.00
71,SwitchBINInWarnSite2BIN9,H104.01
72,SwitchBINInWarnSite3BIN1,H104.02
73,SwitchBINInWarnSite3BIN2,H104.03
74,SwitchBINInWarnSite3BIN3,H104.04
75,SwitchBINInWarnSite3BIN4,H104.05
76,SwitchBINInWarnSite3BIN5,H104.06
77,SwitchBINInWarnSite3BIN6,H104.07
78,SwitchBINInWarnSite3BIN7,H104.08
79,SwitchBINInWarnSite3BIN8,H104.09
80,SwitchBINInWarnSite3BIN9,H104.10
81,SwitchBINInWarnSite4BIN1,H104.11
82,SwitchBINInWarnSite4BIN2,H104.12
83,SwitchBINInWarnSite4BIN3,H104.13
84,SwitchBINInWarnSite4BIN4,H104.14
85,SwitchBINInWarnSite4BIN5,H104.15
86,SwitchBINInWarnSite4BIN6,H105.00
87,SwitchBINInWarnSite4BIN7,H105.01
88,SwitchBINInWarnSite4BIN8,H105.02
89,SwitchBINInWarnSite4BIN9,H105.03
90,SwitchSetBINtoAExitBIN1,H105.04
91,SwitchSetBINtoAExitBIN2,H105.05
92,SwitchSetBINtoAExitBIN3,H105.06
93,SwitchSetBINtoAExitBIN4,H105.07
94,SwitchSetBINtoAExitBIN5,H105.08
95,SwitchSetBINtoAExitBIN6,H105.09
96,SwitchSetBINtoAExitBIN7,H105.10
97,SwitchSetBINtoAExitBIN8,H105.11
98,SwitchSetBINtoAExitBIN9,H105.12
99,SwitchSetBINtoM1ExitBIN1,H105.13
100,SwitchSetBINtoM1ExitBIN2,H105.14
101,SwitchSetBINtoM1ExitBIN3,H105.15
102,SwitchSetBINtoM1ExitBIN4,H106.00
103,SwitchSetBINtoM1ExitBIN5,H106.01
104,SwitchSetBINtoM1ExitBIN6,H106.02
105,SwitchSetBINtoM1ExitBIN7,H106.03
106,SwitchSetBINtoM1ExitBIN8,H106.04
107,SwitchSetBINtoM1ExitBIN9,H106.05
108,SwitchSetBINtoM2ExitBIN1,H106.06
109,SwitchSetBINtoM2ExitBIN2,H106.07
110,SwitchSetBINtoM2ExitBIN3,H106.08
111,SwitchSetBINtoM2ExitBIN4,H106.09
112,SwitchSetBINtoM2ExitBIN5,H106.10
113,SwitchSetBINtoM2ExitBIN6,H106.11
114,SwitchSetBINtoM2ExitBIN7,H106.12
115,SwitchSetBINtoM2ExitBIN8,H106.13
116,SwitchSetBINtoM2ExitBIN9,H106.14
117,SwitchSetBINtoM3ExitBIN1,H106.15
118,SwitchSetBINtoM3ExitBIN2,H107.00
119,SwitchSetBINtoM3ExitBIN3,H107.01
120,SwitchSetBINtoM3ExitBIN4,H107.02
121,SwitchSetBINtoM3ExitBIN5,H107.03
122,SwitchSetBINtoM3ExitBIN6,H107.04
123,SwitchSetBINtoM3ExitBIN7,H107.05
124,SwitchSetBINtoM3ExitBIN8,H107.06
125,SwitchSetBINtoM3ExitBIN9,H107.07
126,SwitchSetBINtoM4ExitBIN1,H107.08
