id,Name,WrtOnStop,WrtOnStart,WrtOnRun
1,QuantityHandlerTotal,N,,
2,UPHRealTime,N,,
3,QuantitySite1InsertionTotal,N,,
4,QuantitySite2InsertionTotal,N,,
5,QuantitySite3InsertionTotal,N,,
6,QuantitySite4InsertionTotal,N,,
7,QuantityAExitUnitTotal,N,,
8,QuantityM1ExitUnitTotal,N,,
9,QuantityM2ExitUnitTotal,N,,
10,QuantityM3ExitUnitTotal,N,,
11,QuantityM4ExitUnitTotal,N,,
12,QuantityM5ExitUnitTotal,N,,
13,QuantitySite1BIN1UnitTotal,N,,
14,QuantitySite1BIN2UnitTotal,N,,
15,QuantitySite1BIN3UnitTotal,N,,
16,QuantitySite1BIN4UnitTotal,N,,
17,QuantitySite1BIN5UnitTotal,N,,
18,QuantitySite1BIN6UnitTotal,N,,
19,QuantitySite1BIN7UnitTotal,N,,
20,QuantitySite1BIN8UnitTotal,N,,
21,QuantitySite1BIN9UnitTotal,N,,
22,QuantitySite2BIN1UnitTotal,N,,
23,QuantitySite2BIN2UnitTotal,N,,
24,QuantitySite2BIN3UnitTotal,N,,
25,QuantitySite2BIN4UnitTotal,N,,
26,QuantitySite2BIN5UnitTotal,N,,
27,QuantitySite2BIN6UnitTotal,N,,
28,QuantitySite2BIN7UnitTotal,N,,
29,QuantitySite2BIN8UnitTotal,N,,
30,QuantitySite2BIN9UnitTotal,N,,
31,QuantitySite3BIN1UnitTotal,N,,
32,QuantitySite3BIN2UnitTotal,N,,
33,QuantitySite3BIN3UnitTotal,N,,
34,QuantitySite3BIN4UnitTotal,N,,
35,QuantitySite3BIN5UnitTotal,N,,
36,QuantitySite3BIN6UnitTotal,N,,
37,QuantitySite3BIN7UnitTotal,N,,
38,QuantitySite3BIN8UnitTotal,N,,
39,QuantitySite3BIN9UnitTotal,N,,
40,QuantitySite4BIN1UnitTotal,N,,
41,QuantitySite4BIN2UnitTotal,N,,
42,QuantitySite4BIN3UnitTotal,N,,
43,QuantitySite4BIN4UnitTotal,N,,
44,QuantitySite4BIN5UnitTotal,N,,
45,QuantitySite4BIN6UnitTotal,N,,
46,QuantitySite4BIN7UnitTotal,N,,
47,QuantitySite4BIN8UnitTotal,N,,
48,QuantitySite4BIN9UnitTotal,N,,
