id,Name,WrtOnStop,WrtOnStart,WrtOnRun
1,TimeDisplayLOTTotalHour,N,,
2,TimeDisplayLOTRunMinute,N,,
3,TimeDisplayLOTRunHour,N,,
4,TimeDisplayLOTStopMinute,N,,
5,TimeDisplayLOTStopHour,N,,
6,TimeDisplayMUBAMinute,N,,
7,TimePreAlarm,Y,Y,Y
8,TimeAlarm,Y,Y,Y
9,QuantityAExitTube,Y,,
10,QuantityForAllMExit,Y,,
11,QuantityForM1Tube,Y,,
12,QuantityForM2Tube,Y,,
13,QuantityForM3Tube,Y,,
14,QuantityForM4Tube,Y,,
15,QuantityForM5Tube,Y,,
16,QuantitySite1BINAlarm,Y,,
17,QuantitySite2BINAlarm,Y,,
18,QuantitySite3BINAlarm,Y,,
19,QuantitySite4BINAlarm,Y,,
20,TimeDelaySite1SOT,Y,,
21,TimeDelaySite2SOT,Y,,
22,TimeDelaySite3SOT,Y,,
23,TimeDelaySite4SOT,Y,,
24,TimeWidSite1SOT,Y,,
25,TimeWidSite2SOT,Y,,
26,TimeWidSite3SOT,Y,,
27,TimeWidSite4SOT,Y,,
28,TimeDelaySite1BIN,Y,,
29,TimeDelaySite2BIN,Y,,
30,TimeDelaySite3BIN,Y,,
31,TimeDelaySite4BIN,Y,,
32,TimeLimitSite1EOT,Y,,
33,TimeLimitSite2EOT,Y,,
34,TimeLimitSite3EOT,Y,,
35,TimeLimitSite4EOT,Y,,
36,TimeLoaderStackTubeStable,Y,Y,Y
37,TimeLoaderStackTubeOut,Y,Y,Y
38,TimeLoaderEntryClampTube,Y,Y,Y
39,TimeLoaderTubeRotateUp,Y,Y,Y
40,TimeLoaderTubeStartToDropUnit,Y,Y,Y
41,TimeLoaderTrackRequestUnit,Y,Y,Y
42,TimeLoaderMotorStartDelay,Y,Y,Y
43,TimeLoaderMotorArriveTarget,Y,Y,Y
44,TimeLoaderTubeStopClosed,Y,Y,Y
45,TimeLoaderStockStopClosed,Y,Y,Y
46,CountLoaderEntryTubeTapper,Y,Y,Y
47,TimeLoaderEntryTubeTapperSilence,Y,Y,Y
48,TimeLoaderEntryTubeTapperOn,Y,Y,Y
49,TimeLoaderEntryTubeTapperOff,Y,Y,Y
50,TimeSingulatorAirBlow,Y,Y,Y
51,TimeSingulatorOpen,Y,Y,Y
52,TimePreSite1BoyStopCloseDelay,Y,Y,Y
53,TimePreSite2BoyStopCloseDelay,Y,Y,Y
54,TimeTestSiteAirBlow,Y,Y,Y
55,TimeTestSite1PreSettle,Y,Y,Y
56,TimeTestSite2PreSettle,Y,Y,Y
57,TimeTestSite3PreSettle,Y,Y,Y
58,TimeTestSite4PreSettle,Y,Y,Y
59,TimeTestSiteLeadBackOpenDelay,Y,Y,Y
60,TimeTestSite1PostSettle,Y,Y,Y
61,TimeTestSite2PostSettle,Y,Y,Y
62,TimeTestSite3PostSettle,Y,Y,Y
63,TimeTestSite4PostSettle,Y,Y,Y
64,TimePlungerHoldPushOutExercise,Y,Y,Y
65,TimePlungeMoveSpeedAlarm,Y,Y,Y
66,TimeCurveTrackAirBlow,Y,Y,Y
67,TimeCurveTrackDropUnit,Y,Y,Y
68,TimeSort1JustifyDD,Y,Y,Y
69,TimeSort2JustifyDD,Y,Y,Y
70,TimeSortStartMoveDelay,Y,Y,Y
71,TimeSortOpenAExitDelay,Y,Y,Y
72,TimeSortOpenMExitDelay,Y,Y,Y
73,TimeSortCloseMExitDelay,Y,Y,Y
74,TimeSortAlrBlowDropUnit,Y,Y,Y
75,CountUnLoaderStackTubeTapper,Y,Y,Y
76,TimeUnLoaderStackTubeTapperSilence,Y,Y,Y
77,TimeUnLoaderStackTubeTapperOn,Y,Y,Y
78,TimeUnLoaderStackTubeTapperOff,Y,Y,Y
79,TimeUnLoaderAExitTubeAntiJamOn,Y,Y,Y
80,TimeUnLoaderAExitTubeAntiJamOff,Y,Y,Y
81,TimeUnLoaderStackTubeUpSettle,Y,Y,Y
82,TimeUnLoaderStackTubeBaseSettile,Y,Y,Y
83,TimeUnLoaderPushTubeYUp,Y,Y,Y
84,TimeUnLoaderAExitClampTube,Y,Y,Y
85,TimeUnLoaderAExitCloseDelay,Y,Y,Y
86,TimeUnLoaderMotorBackToStackDelay,Y,Y,Y
